Item Label,Image,Author,Submission DateTime,Year,Date,Instance Of Type Label,Longitude,Latitude,Inception,Admin Entity Label,Historic County Label
Glenorchy Parish Church,http://commons.wikimedia.org/wiki/Special:FilePath/Glenorchy%20church%20and%20graveyard.jpg,Geograph Update Bot,2017-09-10 17:34:57,2017,10,church building,-4.97108,56.4042,1811-01-01T00:00:00Z,Argyll and Bute,Argyll
St Columba's Cathedral,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Columbas%20Cathedral%2C%20UK.jpg,File Upload Bot (Magnus Manske),2008-09-11 15:24:41,2008,11,cathedral,-5.47883,56.4195,1952-01-01T00:00:00Z,Argyll and Bute; Oban,Argyll
Seton Collegiate Church,http://commons.wikimedia.org/wiki/Special:FilePath/Seton%20Collegiate%20Church%2C%20near%20Tranent%2001.jpg,Mainlymazza,2019-09-25 19:46:50,2019,25,church building,-2.9335505,55.965277,N/A,East Lothian,East Lothian
St Michael and All Angels’ Church,http://commons.wikimedia.org/wiki/Special:FilePath/Helensburgh%20St%20Michael%20and%20All%20Angels%20Church%20Exterior.jpg,AlasdairW,2016-09-26 22:51:36,2016,26,church building,-4.74016,56.005,1868-01-01T00:00:00Z,Argyll and Bute; Helensburgh,Dunbartonshire
"St Vincent Street Church, Glasgow",http://commons.wikimedia.org/wiki/Special:FilePath/StVincentStreetChurchGlasgow.jpg,Verne Equinox,2009-09-07 20:50:12,2009,7,parish church,-4.265475121,55.862252835,1859-01-01T00:00:00Z,Glasgow City,Lanarkshire
Political Martyrs' Monument,http://commons.wikimedia.org/wiki/Special:FilePath/Martyr%27s%20Monument.jpg,GarDav,2017-09-18 16:03:32,2017,18,monument,-3.18584,55.9534,N/A,City of Edinburgh,Midlothian
St Columba's Cathedral,http://commons.wikimedia.org/wiki/Special:FilePath/St%20Columbas%20Cathedral%2C%20UK.jpg,File Upload Bot (Magnus Manske),2008-09-11 15:24:41,2008,11,cathedral,-5.47883,56.4195,1935-01-01T00:00:00Z,Argyll and Bute; Oban,Argyll
"Linlithgow, The Cross, Town House",http://commons.wikimedia.org/wiki/Special:FilePath/Linlithgow%2C%20The%20Cross%2C%20Town%20House%20-%2020170923144559.jpg,Ammienoot,2017-09-27 22:21:14,2017,27,townhouse,-3.60056,55.9774,N/A,West Lothian,West Lothian
Kelvingrove Art Gallery and Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Kelvingrove%20Art%20Gallery%20and%20Museum%20-%20exterior.jpg,Stinglehammer,2017-09-10 23:23:18,2017,10,art museum; local authority museum,-4.290636382,55.868608412,1901-01-01T00:00:00Z,Glasgow City,Lanarkshire
"Cathedral Square, Bridge Of Sighs, Superintendent's House",http://commons.wikimedia.org/wiki/Special:FilePath/Cathedral%20Square%2C%20Bridge%20Of%20Sighs%2C%20Superintendent%27s%20House.jpg,Stinglehammer,2017-09-30 12:19:25,2017,30,caretaker's house,-4.23476,55.8623,N/A,Glasgow City,Lanarkshire
Skipness Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Skipness%20castle%20IW.jpg,Iwoelbern,2007-09-13 21:08:09,2007,13,tower house,-5.3364,55.768,N/A,Argyll and Bute,Argyll
Oxenfoord Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Oxenfoord%20Castle%2001.jpg,Sir Gawain,2014-09-14 07:01:13,2014,14,castle,-2.97944325,55.879470445,N/A,Midlothian,Midlothian
Relief Land,http://commons.wikimedia.org/wiki/Special:FilePath/Relief%20Land%2C%20Inveraray%20-%20view%20from%20N.jpg,ArchHist,2018-09-30 16:25:17,2018,30,building,-5.07352,56.2296,N/A,Argyll and Bute,Argyll
Holyrood Palace,http://commons.wikimedia.org/wiki/Special:FilePath/Palace%20of%20Holyroodhouse%2C%20Edinburgh.jpg,Kim Traynor,2011-09-23 10:10:06,2011,23,palace; official residence; country house,-3.17229,55.9527,N/A,City of Edinburgh,Midlothian
"Tivoli Theatre, Aberdeen",http://commons.wikimedia.org/wiki/Special:FilePath/The%20Tivoil%2C%20Guild%20St%2C%20Aberdeen%2C%20Scotland.JPG,Ragazzi99,2013-09-21 11:03:51,2013,21,theatre,-2.09766,57.1451,1872-01-01T00:00:00Z,Aberdeen City,Aberdeenshire
voco Grand Central Hotel,http://commons.wikimedia.org/wiki/Special:FilePath/Gordon%20Street%2C%20Central%20Station%2C%20Central%20Hotel%2001.jpg,Stinglehammer,2017-09-19 00:29:19,2017,19,railway hotel,-4.25871,55.8597,N/A,Glasgow City,Lanarkshire
Scottish National Gallery of Modern Art,http://commons.wikimedia.org/wiki/Special:FilePath/Modern%20One%2C%20Scottish%20National%20Gallery%20of%20Modern%20Art%2C%20Belford%20Road%2C%20Edinburgh.jpg,Grousebeater2,2018-09-28 22:16:21,2018,28,art museum; national museum,-3.22746,55.9506,1960-01-01T00:00:00Z,City of Edinburgh,Midlothian
Union Bridge,http://commons.wikimedia.org/wiki/Special:FilePath/Union%20Chain%20Bridge%20between%20England%20and%20Scotland%2C%202019.jpg,DeFacto,2020-09-01 20:53:12,2020,1,suspension bridge; road bridge,-2.107210826,55.752491622,1820-01-01T00:00:00Z,Scottish Borders; Horncliffe; Hutton,Berwickshire
"St Margaret of Scotland, Chapel and Convent Wing, Aberdeen",http://commons.wikimedia.org/wiki/Special:FilePath/St%20Margaret%20of%20Scotland%2C%20Chapel%20and%20Convent%20Wing%2C%20Aberdeen.jpg,Watty62,2020-09-23 14:48:39,2020,23,chapel,-2.099895575,57.157490589,N/A,Aberdeen City,Aberdeenshire
Falkirk Old Parish Church,http://commons.wikimedia.org/wiki/Special:FilePath/Falkirk%20Old%20Parish%20Church.jpg,Geograph Update Bot,2017-09-09 21:23:53,2017,9,church building,-3.785833,56.000278,1811-01-01T00:00:00Z,Falkirk,Stirlingshire
Levenford House,http://commons.wikimedia.org/wiki/Special:FilePath/Levenford%20House%2C%20Dumbarton.jpg,Geograph Update Bot,2017-09-12 19:30:41,2017,12,house; library building; mansion,-4.57911,55.9447,N/A,West Dunbartonshire,Dunbartonshire
Belmont House,http://commons.wikimedia.org/wiki/Special:FilePath/Belmont%20House%2C%20Shetland.jpg,Geograph Update Bot,2017-09-11 17:52:27,2017,11,country house,-0.967403,60.6876,1775-01-01T00:00:00Z,Shetland Islands,Shetland Islands
Udny Castle,http://commons.wikimedia.org/wiki/Special:FilePath/Udny%20Castle%2003.jpg,Sagaciousphil,2013-09-08 16:49:47,2013,8,tower house; country house,-2.1973,57.3315,N/A,Aberdeenshire,Aberdeenshire
Birnie Kirk,http://commons.wikimedia.org/wiki/Special:FilePath/Birnie%20Church.jpg,Chh bck,2018-09-21 15:47:11,2018,21,church building,-3.32968,57.6114,1140-01-01T00:00:00Z,Moray,Morayshire
"Kelvinside Hillhead Parish Church, Glasgow",http://commons.wikimedia.org/wiki/Special:FilePath/Kelvinside%20Hillhead%20Parish%20Church.jpg,LornaMCampbell,2017-09-08 20:47:28,2017,8,church building,-4.2932,55.8775,1876-10-08T00:00:00Z,Glasgow City,Lanarkshire
Bede House,http://commons.wikimedia.org/wiki/Special:FilePath/Bede%20House%202010%20a.jpg,Nick,2014-09-05 21:18:58,2014,5,house,-2.10163,57.1676,N/A,Aberdeen City,Aberdeenshire
West Port House,http://commons.wikimedia.org/wiki/Special:FilePath/Linlithgow%2C%20297-299%20High%20Street%2C%20West%20Port%20House.jpg,Ammienoot,2018-09-16 22:09:56,2018,16,architectural structure,-3.60956,55.9757,N/A,West Lothian,West Lothian
"St James Church, Kilmacolm",http://commons.wikimedia.org/wiki/Special:FilePath/St%20Columbas%20Kilmacolm.jpg,File Upload Bot (Magnus Manske),2008-09-25 13:15:04,2008,25,church building,-4.626968873,55.892949217,1903-01-01T00:00:00Z,Inverclyde,Renfrewshire
Anniesland Court,http://commons.wikimedia.org/wiki/Special:FilePath/Anniesland%20court%20%28perspective%20filter%20etc%29.jpg,Ubcule,2023-09-12 20:15:11,2023,12,skyscraper,-4.32511,55.891,1968-01-01T00:00:00Z,Glasgow City,Renfrewshire
Glasgow School of Art,http://commons.wikimedia.org/wiki/Special:FilePath/Glasgow%20School%20of%20Art%20-%20September%202017.jpg,Stinglehammer,2017-09-17 11:02:21,2017,17,university; art school; university museum,-4.263746379,55.866050411,1845-01-01T00:00:00Z,Glasgow City,Lanarkshire
"Edinburgh, 18 Regent Terrace",http://commons.wikimedia.org/wiki/Special:FilePath/18%20Regent%20Terrace%201.jpg,Spillerjzy,2017-09-23 15:41:30,2017,23,terrace house,-3.17629,55.955,N/A,City of Edinburgh,Midlothian
People's Palace,http://commons.wikimedia.org/wiki/Special:FilePath/People%27s%20Palace%20and%20Winter%20Gardens%20in%20Glasgow%20Green.jpg,Mmhkk,2017-09-30 21:47:37,2017,30,museum; greenhouse; tourist attraction; local authority museum,-4.23741624,55.851208554,1898-01-01T00:00:00Z,Glasgow City,Lanarkshire
Scotland Street School Museum,http://commons.wikimedia.org/wiki/Special:FilePath/Scotland%20Street%20School%20infants%20entrance%20DSCN8975.jpg,AlasdairW,2017-09-26 22:45:12,2017,26,museum; school building; education museum,-4.27369,55.8494,1906-01-01T00:00:00Z,Glasgow City,Renfrewshire
"St Michael's Parish Church, Linlithgow",http://commons.wikimedia.org/wiki/Special:FilePath/Linlithgow%2C%20St%20Michael%27s%20Church.jpg,Ammienoot,2018-09-16 22:23:11,2018,16,church building,-3.60033,55.9781,N/A,West Lothian,West Lothian
Mavisbank House,http://commons.wikimedia.org/wiki/Special:FilePath/Mavisbank%20House%20-%20principal%20elevation.jpg,ArchHist,2018-09-01 11:45:15,2018,1,house,-3.137311165,55.873548234,N/A,Midlothian,Midlothian
Dugald Stewart Monument,http://commons.wikimedia.org/wiki/Special:FilePath/Dugald%20Stewart%20Monument%20-%2005.jpg,Kadellar,2014-09-19 11:46:08,2014,19,monument,-3.18448,55.9545,N/A,City of Edinburgh,Midlothian
Dunmore Pineapple,http://commons.wikimedia.org/wiki/Special:FilePath/Dunmore%20Pineapple.jpg,Davidw82,2013-09-01 22:45:58,2013,1,folly; summer house,-3.7867,56.07671,N/A,Falkirk,Stirlingshire
Canongate Tolbooth,http://commons.wikimedia.org/wiki/Special:FilePath/Canongate%20Tolbooth%20at%20Sunset.jpg,GarDav,2017-09-18 16:05:00,2017,18,tolbooth,-3.18,55.9515,N/A,City of Edinburgh,Midlothian
"Kilmaurs, Tour, Dovecot",http://commons.wikimedia.org/wiki/Special:FilePath/Kirkfauld%20dovecote%20at%20Saint%20Maurs-Glencairn%20Church%2C%20Kilmaurs.JPG,Rosser1954,2014-09-24 21:05:34,2014,24,dovecote,-4.52128,55.6336,N/A,East Ayrshire,Ayrshire
"Rhu, Rhu Road Lower, Ardencaple Hotel Including Former Stables",http://commons.wikimedia.org/wiki/Special:FilePath/DSCN3856%20Ardencaple%20Hotel.jpg,AlasdairW,2019-09-16 22:18:24,2019,16,hotel; pub; cottage,-4.76441,56.0135,N/A,Argyll and Bute,Dunbartonshire
Mertoun House,http://commons.wikimedia.org/wiki/Special:FilePath/Mertoun%20House.jpg,Geograph Update Bot,2017-09-10 12:17:33,2017,10,garden; country house,-2.6040158,55.579208214,N/A,Scottish Borders,Berwickshire
Eden Court Theatre,http://commons.wikimedia.org/wiki/Special:FilePath/Eden%20Court%20Theatre%20%284860116209%29.jpg,Rotatebot,2013-09-04 07:48:50,2013,4,theatre,-4.230820485,57.473078523,1976-01-01T00:00:00Z,Inverness; Highland,Inverness-shire
Rosslyn Chapel,http://commons.wikimedia.org/wiki/Special:FilePath/Rosslyn%20Chapel1.jpg,Tallulahbang,2017-09-03 17:40:39,2017,3,Anglican church building,-3.1599,55.8554,1446-01-01T00:00:00Z,Midlothian,Midlothian
McEwan Hall,http://commons.wikimedia.org/wiki/Special:FilePath/DSCN4533%20McEwan%20Hall.jpg,AlasdairW,2019-09-29 22:13:01,2019,29,hall,-3.189676096,55.945314795,1897-01-01T00:00:00Z,City of Edinburgh,Midlothian
Glasgow Central station,http://commons.wikimedia.org/wiki/Special:FilePath/Central%20Station%20from%20The%20Lighthouse%20DSCN8987.jpg,AlasdairW,2017-09-30 21:12:00,2017,30,dead-end railway station; railway station,-4.25822,55.8589,1879-01-01T00:00:00Z,Glasgow City,Lanarkshire
Advocates Library,http://commons.wikimedia.org/wiki/Special:FilePath/Edinburgh%20Advocate%27s%20Library%202.JPG,AlasdairW,2014-09-27 23:23:50,2014,27,law library,-3.19158,55.9489,N/A,Edinburgh,Midlothian
